종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
136490,선진,"11,750","100","0.86","11,750","11,700","9,410","110,147,550","11,750","11,900","11,550","500",원(KRW),"23,779,604","279,410,347,000",
002820,선창산업,"6,120","170","2.86","6,120","6,070","24,662","148,647,620","5,950","6,130","5,910","1,000",원(KRW),"12,607,989","77,160,892,680",
014910,성문전자,"3,200","-115","3.47","3,210","3,200","826,607","2,685,211,700","3,360","3,410","3,145","500",원(KRW),"19,486,857","62,357,942,400",
014915,성문전자우,"16,550","-450","2.65","16,550","16,500","219,903","3,615,028,250","17,100","17,500","15,750","500",원(KRW),"600,000","9,930,000,000",
003080,성보화학,"5,610","40","0.72","5,610","5,590","11,373","63,365,810","5,590","5,610","5,560","500",원(KRW),"20,020,000","112,312,200,000",
004980,성신양회,"14,350","450","3.24","14,350","14,300","2,458,185","35,215,636,750","14,200","14,800","13,900","5,000",원(KRW),"24,008,482","344,521,716,700",
004987,성신양회2우B,"18,050","1,050","6.18","18,050","17,950","180,217","3,329,598,300","17,600","19,900","16,850","5,000",원(KRW),"220,693","3,983,508,650",
004989,성신양회3우B,"12,000","250","2.13","12,000","11,950","13,889","168,529,450","11,700","12,500","11,550","5,000",원(KRW),"286,898","3,442,776,000",
004985,성신양회우,"14,000","1,750","14.29","14,050","14,000","652,278","8,930,502,200","12,800","15,000","12,100","5,000",원(KRW),"735,645","10,299,030,000",
011300,성안,"651","-1","0.15","651","650","53,411","34,638,572","650","660","643","500",원(KRW),"56,857,860","37,014,466,860",
000180,성창기업지주,"2,200","5","0.23","2,200","2,190","134,280","294,202,200","2,205","2,250","2,170","500",원(KRW),"69,751,600","153,453,520,000",
002420,세기상사,"69,100","-500","0.72","69,800","69,100","292","20,243,900","69,400","69,400","68,700","5,000",원(KRW),"407,592","28,164,607,200",
004360,세방,"12,800","250","1.99","12,800","12,700","6,783","86,057,200","12,600","12,800","12,600","500",원(KRW),"19,308,690","247,151,232,000",
004365,세방우,"6,470","80","1.25","6,470","6,400","1,356","8,686,560","6,390","6,470","6,390","500",원(KRW),"3,689,250","23,869,447,500",
004490,세방전지,"38,400","900","2.40","38,450","38,400","44,795","1,712,235,550","39,000","39,750","37,300","500",원(KRW),"14,000,000","537,600,000,000",
001430,세아베스틸,"17,700","-50","0.28","17,750","17,700","39,097","689,089,050","17,750","17,800","17,450","5,000",원(KRW),"35,862,119","634,759,506,300",
306200,세아제강,"66,100","-800","1.20","66,500","66,100","3,043","202,746,500","67,400","67,400","65,300","5,000",원(KRW),"2,836,300","187,479,430,000",
