번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
750,170920,엘티씨,032001,기초 화학물질 제조업,"7,519,943","3,759,971,500","500",원(KRW)
751,058630,엠게임,105802,소프트웨어 개발 및 공급업,"19,543,877","9,771,938,500","500",원(KRW)
752,019590,엠벤처투자,116402,신탁업 및 집합투자업,"60,142,180","30,071,090,000","500",원(KRW)
753,097520,엠씨넥스,032605,영상 및 음향기기 제조업,"14,232,635","7,116,317,500","500",원(KRW)
754,179290,엠아이텍,032701,의료용 기기 제조업,"30,423,558","15,211,779,000","500",원(KRW)
755,009780,엠에스씨,031007,기타 식품 제조업,"17,600,000","8,800,000,000","500",원(KRW)
756,123040,엠에스오토텍,033003,자동차 신품 부품 제조업,"27,205,022","13,602,511,000","500",원(KRW)
757,032790,엠젠플러스,074605,기계장비 및 관련 물품 도매업,"14,571,042","7,285,521,000","500",원(KRW)
758,033160,엠케이전자,032602,전자부품 제조업,"21,807,689","10,903,844,500","500",원(KRW)
759,204020,엠코르셋,031401,봉제의복 제조업,"10,073,715","5,356,191,500","500",원(KRW)
760,259630,엠플러스,032902,특수 목적용 기계 제조업,"5,111,890","2,555,945,000","500",원(KRW)
761,115960,연우,032202,플라스틱제품 제조업,"12,398,000","6,199,000,000","500",원(KRW)
762,090740,연이정보통신,032602,전자부품 제조업,"16,000,000","8,000,000,000","500",원(KRW)
763,007530,영신금속,032509,기타 금속 가공제품 제조업,"12,832,968","6,416,484,000","500",원(KRW)
764,143540,영우디에스피,032902,특수 목적용 기계 제조업,"12,194,466","6,097,233,000","500",원(KRW)
765,036180,영인프런티어,074605,기계장비 및 관련 물품 도매업,"17,600,341","8,800,170,500","500",원(KRW)
766,036560,영풍정밀,032901,일반 목적용 기계 제조업,"15,750,000","7,875,000,000","500",원(KRW)
767,265560,영화테크,033003,자동차 신품 부품 제조업,"5,345,090","2,672,545,000","500",원(KRW)
768,036000,예림당,105801,"서적, 잡지 및 기타 인쇄물 출판업","23,034,277","11,617,138,500","500",원(KRW)
769,053280,예스24,074709,무점포 소매업,"17,200,000","8,600,000,000","500",원(KRW)
770,122640,예스티,032902,특수 목적용 기계 제조업,"11,001,835","5,500,917,500","500",원(KRW)
771,900300,오가닉티코스메틱,116409,기타 금융업,"56,925,000","346,362,612","0",중국위안(CNY)
772,045060,오공,032004,기타 화학제품 제조업,"16,941,974","8,470,987,000","500",원(KRW)
773,080520,오디텍,032601,반도체 제조업,"11,746,609","5,873,304,500","500",원(KRW)
774,039830,오로라,137302,전문디자인업,"10,762,890","5,381,445,000","500",원(KRW)
775,046120,오르비텍,137209,기타 과학기술 서비스업,"23,790,573","11,895,286,500","500",원(KRW)
776,014940,오리엔탈정공,033101,선박 및 보트 건조업,"45,573,661","22,786,830,500","500",원(KRW)
777,065500,오리엔트정공,033003,자동차 신품 부품 제조업,"117,214,562","58,607,281,000","500",원(KRW)
778,010470,오리콤,137103,광고업,"11,498,750","11,498,750,000","1,000",원(KRW)
779,053980,오상자이엘,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","17,747,882","8,873,941,000","500",원(KRW)
780,052420,오성첨단소재,032202,플라스틱제품 제조업,"49,717,899","24,920,233,500","500",원(KRW)
781,241790,오션브릿지,032004,기타 화학제품 제조업,"9,238,010","4,619,005,000","500",원(KRW)
782,039200,오스코텍,032102,의약품 제조업,"28,101,839","14,050,919,500","500",원(KRW)
783,226400,오스테오닉,032701,의료용 기기 제조업,"8,458,466","4,229,233,000","500",원(KRW)
