번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
261,004000,롯데정밀화학,032001,기초 화학물질 제조업,"25,800,000","129,000,000,000","5,000",원(KRW)
262,286940,롯데정보통신,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","14,286,000","71,430,000,000","5,000",원(KRW)
263,280360,롯데제과,031007,기타 식품 제조업,"6,416,717","3,208,358,500","500",원(KRW)
264,004990,롯데지주,116409,기타 금융업,"104,909,237","21,179,372,000","200",원(KRW)
265,005300,롯데칠성음료,031102,비알코올음료 및 얼음 제조업,"799,346","4,384,385,000","5,000",원(KRW)
266,011170,롯데케미칼,032001,기초 화학물질 제조업,"34,275,419","171,377,095,000","5,000",원(KRW)
267,002270,롯데푸드,031005,낙농제품 및 식용빙과류 제조업,"1,131,870","5,659,350,000","5,000",원(KRW)
268,071840,롯데하이마트,074703,가전제품 및 정보통신장비 소매업,"23,607,712","118,038,560,000","5,000",원(KRW)
269,027740,마니커,031001,"도축, 육류 가공 및 저장 처리업","158,472,594","79,236,297,000","500",원(KRW)
270,204320,만도,033003,자동차 신품 부품 제조업,"46,957,120","46,957,120,000","1,000",원(KRW)
271,001080,만호제강,032401,1차 철강 제조업,"4,150,000","4,150,000,000","1,000",원(KRW)
272,088980,맥쿼리인프라,116402,신탁업 및 집합투자업,"349,044,336","1,815,614,802,841","0",원(KRW)
273,094800,맵스리얼티1,116402,신탁업 및 집합투자업,"92,834,331","464,171,655,000","0",원(KRW)
274,015540,메디파트너생명공학,147509,기타 사업지원 서비스업,"5,512,821","2,756,410,500","500",원(KRW)
275,138040,메리츠금융지주,116409,기타 금융업,"140,224,314","71,442,909,000","500",원(KRW)
276,008560,메리츠종금증권,116601,금융 지원 서비스업,"605,641,072","605,641,072,000","1,000",원(KRW)
277,000060,메리츠화재,116501,보험업,"113,680,000","56,840,000,000","500",원(KRW)
278,090370,메타랩스,031401,봉제의복 제조업,"44,549,792","22,274,896,000","500",원(KRW)
279,017180,명문제약,032102,의약품 제조업,"24,540,000","12,270,000,000","500",원(KRW)
280,012690,모나리자,031709,기타 종이 및 판지 제품 제조업,"36,571,255","18,885,627,500","500",원(KRW)
281,005360,모나미,074604,생활용품 도매업,"18,897,307","18,897,307,000","1,000",원(KRW)
282,204210,모두투어리츠,126801,부동산 임대 및 공급업,"7,826,815","39,134,075,000","5,000",원(KRW)
283,009680,모토닉,033003,자동차 신품 부품 제조업,"33,000,000","16,500,000,000","500",원(KRW)
284,009580,무림P&P,031701,"펄프, 종이 및 판지 제조업","62,368,324","155,920,810,000","2,500",원(KRW)
285,009200,무림페이퍼,031701,"펄프, 종이 및 판지 제조업","41,609,310","104,023,275,000","2,500",원(KRW)
286,033920,무학,031101,알코올음료 제조업,"28,500,000","5,700,000,000","200",원(KRW)
287,008420,문배철강,032401,1차 철강 제조업,"20,503,505","10,251,752,500","500",원(KRW)
288,025560,미래산업,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","634,818,400","63,481,840,000","100",원(KRW)
289,007120,미래아이앤지,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","103,587,319","51,793,659,500","500",원(KRW)
290,006800,미래에셋대우,116601,금융 지원 서비스업,"658,316,408","4,101,960,790,000","5,000",원(KRW)
291,085620,미래에셋생명,116501,보험업,"177,016,189","885,080,945,000","5,000",원(KRW)
292,002840,미원상사,032004,기타 화학제품 제조업,"774,940","7,992,480,000","5,000",원(KRW)
293,268280,미원에스씨,032001,기초 화학물질 제조업,"5,221,276","2,610,638,000","500",원(KRW)
294,107590,미원홀딩스,116409,기타 금융업,"2,331,774","1,315,887,000","500",원(KRW)
295,134380,미원화학,032004,기타 화학제품 제조업,"2,189,904","2,394,716,000","1,000",원(KRW)
296,003650,미창석유공업,031902,석유 정제품 제조업,"1,739,672","8,698,360,000","5,000",원(KRW)
297,155900,바다로19호,147601,운송장비 임대업,"15,200,004","76,000,020,000","5,000",원(KRW)
298,003610,방림,031302,직물직조 및 직물제품 제조업,"42,314,090","21,157,045,000","500",원(KRW)
299,001340,백광산업,032001,기초 화학물질 제조업,"44,918,407","22,459,203,500","500",원(KRW)
300,014580,백광소재,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","27,583,100","13,791,550,000","500",원(KRW)
301,035150,백산,032202,플라스틱제품 제조업,"24,200,000","14,000,000,000","500",원(KRW)
302,002410,범양건영,064101,건물 건설업,"24,831,812","24,831,812,000","1,000",원(KRW)
303,096300,베트남개발1,116402,신탁업 및 집합투자업,"124,245,360","90,699,112,800","0",원(KRW)
304,007210,벽산,032309,기타 비금속 광물제품 제조업,"68,560,000","34,280,000,000","500",원(KRW)
305,002760,보락,032004,기타 화학제품 제조업,"59,900,000","11,980,000,000","200",원(KRW)
306,003850,보령제약,032102,의약품 제조업,"44,200,000","22,100,000,000","500",원(KRW)
307,000890,보해양조,031101,알코올음료 제조업,"96,570,546","48,285,273,000","500",원(KRW)
308,003000,부광약품,032102,의약품 제조업,"48,870,283","24,435,141,500","500",원(KRW)
309,001270,부국증권,116601,금융 지원 서비스업,"10,369,886","66,849,430,000","5,000",원(KRW)
310,026940,부국철강,032401,1차 철강 제조업,"20,000,000","10,000,000,000","500",원(KRW)
311,015350,부산도시가스,043502,연료용 가스 제조 및 배관공급업,"11,000,000","55,000,000,000","5,000",원(KRW)
312,011390,부산산업,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","1,056,000","5,280,000,000","5,000",원(KRW)
313,005030,부산주공,033003,자동차 신품 부품 제조업,"42,349,528","21,174,764,000","500",원(KRW)
314,100220,비상교육,105801,"서적, 잡지 및 기타 인쇄물 출판업","12,996,741","6,498,370,500","500",원(KRW)
315,005180,빙그레,031005,낙농제품 및 식용빙과류 제조업,"9,851,241","49,756,205,000","5,000",원(KRW)
316,003960,사조대림,031002,수산물 가공 및 저장 처리업,"5,960,575","29,802,875,000","5,000",원(KRW)
317,008040,사조동아원,031006,"곡물가공품, 전분 및 전분제품 제조업","141,144,600","70,572,300,000","500",원(KRW)
318,007160,사조산업,010301,어로 어업,"5,000,000","25,000,000,000","5,000",원(KRW)
319,014710,사조씨푸드,031002,수산물 가공 및 저장 처리업,"17,218,543","17,218,543,000","1,000",원(KRW)
320,006090,사조오양,031002,수산물 가공 및 저장 처리업,"9,422,739","47,113,695,000","5,000",원(KRW)
321,079660,사조해표,031007,기타 식품 제조업,"7,160,000","35,800,000,000","5,000",원(KRW)
322,005090,삼광글라스,032301,유리 및 유리제품 제조업,"4,854,418","24,272,090,000","5,000",원(KRW)
323,001470,삼부토건,064102,토목 건설업,"24,803,131","124,015,655,000","5,000",원(KRW)
324,006400,삼성SDI,032802,일차전지 및 축전지 제조업,"68,764,530","356,712,130,000","5,000",원(KRW)
325,006660,삼성공조,033003,자동차 신품 부품 제조업,"8,126,314","4,063,157,000","500",원(KRW)
326,028260,삼성물산,074607,기타 전문 도매업,"189,690,043","19,131,748,300","100",원(KRW)
327,207940,삼성바이오로직스,032101,기초 의약물질 및 생물학적 제제 제조업,"66,165,000","165,412,500,000","2,500",원(KRW)
